field,laureate_id,laureate_name,prize_year,title,pub_year,paper_id,additional_info,doi,uid,nonenglish,no_record
Chemistry,20027,"chauvin, y",2005,catalyse de transformation des olefines par les complexes du tungstene ii telomerisation des olefines cycliques en presence d olefines acycliques,1971,1621500924,,10.1002/macp.1971.021410112,,1,0
Chemistry,20054,"crutzen, p",1995,the influence of nitrogen oxides on the atmospheric ozone content,1970,1971991115,,10.1002/qj.49709640815,WOS:A1970G322300014,0,0
Chemistry,20036,"tanaka, k",2002,Protein and polymer analyses up to m/z 100 000 by laser ionization timeofflight mass spectrometry,1988,2110174460,,10.1002/rcm.1290020802,,0,1
Chemistry,20113,"heyrovsky, j",1959,researches with the dropping mercury cathode part ii the polarograph,2010,2067877546,,10.1002/recl.19250440606,WOS:000201273200053,0,0
Chemistry,20161,"richards, t",1914,revision des atomgewichtes von casium--Revision of the atomic weight of casium,1903,1542301768,,10.1002/zaac.19030340131,WOS:000202106100004,0,0
Chemistry,20161,"richards, t",1914,revision der atomgewichte von natrium und chlor--Review of atomic weight of natrium and chlorine,1905,2089851537,,10.1002/zaac.19050470108,WOS:000202120100007,0,0
Medicine,30179,"warburg, o",1931,uber die wirkung des kohlenoxyds auf den stoffwechsel der hefe,1928,14753086,,10.1007/978-3-642-47774-4_20,,1,0
Medicine,30179,"warburg, o",1931,uber die geschwindigkeit der photochemischen kohlensaurezersetzung in lebenden zellen ii,1928,1593702539,,10.1007/978-3-642-47774-4_26,,1,0
Physics,10127,"wigner, ep",1963,on the interaction of electrons in metals,1934,2049635189,,10.1007/978-3-642-59033-7_36,WOS:000201515700010,0,0
Physics,10144,"born, m",1954,zur quantenmechanik ii,1926,2059245145,,10.1007/978-3-642-61659-4_27,,1,0
Medicine,30102,karl von frisch,1973,Aus dem Leben der Bienen,1927,1785442005,,10.1007/978-3-642-64923-3,,1,0
Physics,10136,"frank, i",1958,coherent visible radiation of fast electrons passing through matter,1937,1773401776,,10.1007/978-3-642-74626-0_2,,1,0
Medicine,30129,"wilkins, mhf",1962,molecular structure of deoxypentose nucleic acids,1953,1502527096,,10.1007/978-3-662-47150-0_6,WOS:A1953UA43400008,0,0
Physics,10139,"bardeen, j",1956,surface states and rectification at a metal semi conductor contact,1947,2029526589,,10.1007/978-94-009-0657-0_7,WOS:A1947UB27700013,0,0
Physics,10104,"ryle, m",1974,solar radiation on 175 mc s,1946,2072256285,,10.1007/978-94-009-7752-5_18,WOS:A1946UA27000010,0,0
